date,next_date,spy_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-04-07,2025-04-08,504.3800048828125,0.034656370790930424,0.034656370790930424,1.0,-0.048633685428356,0.0,0.005978605765463385,0.06684925473187464,0.08209228892124207,1.0,-0.0156627816725603,0.031051334584920598,0.08187538635436399,0.031180727669169395,False,False,856,20602.85972960858,0.0603713202390352,0.030043328568283477,0.024114344347525567
2025-04-08,2025-04-09,496.4800109863281,-0.00612312374647761,0.00612312374647761,-1.0,-0.11182715710677238,0.0,0.0007910245575368791,0.11182715710677238,0.007023950714235063,1.0,-0.10501930183911301,0.048633685428356,0.07101783667051399,0.028788492997420367,False,False,988,17163.313605236814,0.08645382787326415,0.04742354667108776,0.023907234041539757
2025-04-09,2025-04-10,548.6199951171875,-0.02998434682191531,0.02998434682191531,-1.0,0.014262296003256347,1.0,0.04486369130869794,0.002499233576780391,0.9472322796190599,0.0,0.04381899719533322,0.11182715710677238,0.11192798520492503,0.06529055733938927,False,False,1107,32544.257006346892,0.18206456970903812,0.06473769132812073,0.019637532056091797
2025-04-10,2025-04-11,524.5800170898438,-0.0029928843514255288,0.0029928843514255288,-1.0,-0.020898247589332453,0.0,0.005653089776379794,0.025659132061679024,0.1805394010561294,1.0,-0.017842817199724692,0.014262296003256347,0.0440742096368841,0.06438401242905963,False,False,1199,33964.15939040505,0.12086813986837819,0.10078802146691396,0.023162804509904367
2025-04-11,2025-04-14,533.9400024414062,0.01893468424417577,0.01893468424417577,1.0,-0.00906165386710256,0.0,0.0004228315578858055,0.01908740628817851,0.021672291297622534,1.0,0.009701450822369617,0.020898247589332453,0.031186825305167046,0.056473729255118746,False,False,1187,30921.72346936087,0.11499119282614144,0.10161511902430398,0.02112715524011791
2025-04-15,2025-04-16,537.6099853515625,-0.011030287452535759,0.011030287452535759,-1.0,0.011322636951135001,1.0,0.02189166643497975,0.011679999357137927,0.6520875839327495,1.0,0.02222803246337901,0.0038171431130655797,0.011908263407593982,0.05452573650740289,True,False,1204,45070.60055735786,0.29223217755590464,0.24368558269066698,0.015905137534977052
2025-04-16,2025-04-17,525.6599731445312,0.003766772448093203,0.003766772448093203,1.0,-0.002331213459475401,0.0,0.0066901072013476615,0.007119623017516563,0.48444879771864846,1.0,0.001426777837987947,0.011322636951135001,0.03273755529221514,0.024966582642880056,True,False,1105,45260.696675693594,0.17264938693206708,0.12307152143447013,0.018895489685550704
2025-04-17,2025-04-21,526.4099731445312,-0.009973215303347938,0.009973215303347938,-1.0,0.013968778564849238,1.0,0.024977347092952407,0.0010362251330269245,0.9601659808954626,0.0,0.023802680232045126,0.002331213459475401,0.013811228049560559,0.015110776228397646,True,False,1132,24829.61443064155,0.17377970834353368,0.04417188843686157,0.02025926716411661
2025-04-21,2025-04-22,513.8800048828125,0.012181851222354156,0.012181851222354156,1.0,0.01366936815343478,1.0,0.01761059116115593,0.0018297968037981338,0.905876528436738,0.0,0.02601773758493775,0.013968778564849238,0.025151538586671005,0.014835287869689818,False,False,1052,23699.342187125672,0.10050886626685783,0.02973281400892234,0.02298646007362236
2025-04-22,2025-04-23,527.25,0.024997615316797006,0.024997615316797006,1.0,-0.009270413991679827,0.0,0.009251892137303486,0.012268651631571093,0.42990977536007285,0.0,0.015495463082325855,0.01366936815343478,0.019673825125513546,0.020346835717884176,False,False,1094,30112.541597595908,0.1634148791606228,0.09380886865471678,0.019903542469584205
