sample,date,symbol,year,target,near_gamma_share_0_5,vol_residual
POOLED,2020-04-22,QQQ,2020,next_rth_range,0.20731474520277837,-0.07213637235398274
POOLED,2020-04-22,SPY,2020,next_rth_range,0.1860355793673534,0.021040092189125836
POOLED,2020-04-23,IWM,2020,next_rth_range,0.2658764612877463,-0.13013644103030453
POOLED,2020-04-23,QQQ,2020,next_rth_range,0.17283182079587753,0.002936797228473065
POOLED,2020-04-23,SPY,2020,next_rth_range,0.19831284139684552,-0.053304108066026146
POOLED,2020-04-24,IWM,2020,next_rth_range,0.15164962141949773,0.2847849023763831
POOLED,2020-04-24,QQQ,2020,next_rth_range,0.07851651737807047,-0.8601524630412958
POOLED,2020-04-24,SPY,2020,next_rth_range,0.08596508260760889,-0.38447187986165243
POOLED,2020-04-27,IWM,2020,next_rth_range,0.07506784523185503,-0.008112185635317015
POOLED,2020-04-27,QQQ,2020,next_rth_range,0.180303610212015,0.5260523971031814
POOLED,2020-04-27,SPY,2020,next_rth_range,0.08336472716227322,0.24732512876537616
POOLED,2020-04-28,IWM,2020,next_rth_range,0.051724910009125366,0.2502925840993022
POOLED,2020-04-28,QQQ,2020,next_rth_range,0.12026926570876051,-0.09487612545536184
POOLED,2020-04-28,SPY,2020,next_rth_range,0.21013494896512172,-0.20127166970096866
POOLED,2020-04-29,IWM,2020,next_rth_range,0.18401090142420923,-0.4315996102266375
POOLED,2020-04-29,QQQ,2020,next_rth_range,0.1716930495009071,-0.6296565785801929
POOLED,2020-04-29,SPY,2020,next_rth_range,0.09074968972943064,-0.05592523267238203
POOLED,2020-04-30,IWM,2020,next_rth_range,0.17280969338144975,0.23982230482167566
POOLED,2020-04-30,QQQ,2020,next_rth_range,0.25736094991138403,0.29148917288482323
POOLED,2020-04-30,SPY,2020,next_rth_range,0.17343061354744643,0.6005325615464518
POOLED,2020-05-01,IWM,2020,next_rth_range,0.15460029401697775,-0.09500069777529818
POOLED,2020-05-01,QQQ,2020,next_rth_range,0.12228538837006919,-0.13535861892404188
POOLED,2020-05-01,SPY,2020,next_rth_range,0.07038482395289605,-0.3738535483330354
POOLED,2020-05-04,IWM,2020,next_rth_range,0.035256212443976157,-0.019067695226021364
POOLED,2020-05-04,QQQ,2020,next_rth_range,0.18551657818399114,-0.3481204230266566
POOLED,2020-05-04,SPY,2020,next_rth_range,0.04694389570436967,0.07838217537515035
POOLED,2020-05-05,IWM,2020,next_rth_range,0.05093198255488725,-0.18389908817630607
POOLED,2020-05-05,QQQ,2020,next_rth_range,0.13359626235903885,-0.3588198561252436
POOLED,2020-05-05,SPY,2020,next_rth_range,0.1740613836470485,-0.16659010933709872
POOLED,2020-05-06,IWM,2020,next_rth_range,0.039195801820388794,-0.5385215747986578
POOLED,2020-05-06,QQQ,2020,next_rth_range,0.2583719958374038,-0.500453652507046
POOLED,2020-05-06,SPY,2020,next_rth_range,0.1731474032187046,-0.5483835706619598
POOLED,2020-05-07,IWM,2020,next_rth_range,0.16688119435729543,0.18787548208548488
POOLED,2020-05-07,QQQ,2020,next_rth_range,0.09250052428472463,-0.5408490959127188
POOLED,2020-05-07,SPY,2020,next_rth_range,0.12680247402582803,-0.267758392107158
POOLED,2020-05-08,IWM,2020,next_rth_range,0.14166206456355965,0.0634442951655303
POOLED,2020-05-08,QQQ,2020,next_rth_range,0.10502244081075475,0.45340120564231023
POOLED,2020-05-08,SPY,2020,next_rth_range,0.12389171969478141,0.09373496903919865
POOLED,2020-05-11,IWM,2020,next_rth_range,0.10857360667887633,0.43203527105794537
POOLED,2020-05-11,QQQ,2020,next_rth_range,0.15251218723523868,0.42563207469721087
