symbol,year,date,next_date,day_abs_oc,day_range,rv5,median20_range,next_rth_range,next_max_excursion,next_abs_oc,next_range_vs_20d,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
SPY,2023,2023-09-27,2023-09-28,0.002435103968342678,0.012596888077322536,0.009291050585859363,0.0075248270262008,0.01264455378371553,0.011210841615366007,0.007144819847815231,1.6803779993464676,False,1045,98328.23947034613,0.27421352797195425,0.16774200128093483,0.014868485815262159
IWM,2023,2023-09-28,2023-09-29,0.008461613516675737,0.0147652118665878,0.011150327643276083,0.011397422935836985,0.01681851564560868,0.01600912530190568,0.012460164900982895,1.4756419710218984,False,338,84842.25141419182,0.20499018350795922,0.09476849180767118,0.017093608041164506
QQQ,2023,2023-09-28,2023-09-29,0.011013596270634807,0.0195702563611111,0.008992611928409147,0.01124310872761251,0.016402121627494957,0.012660410258084731,0.009044696171831013,1.4588600025909357,False,895,53110.596644109915,0.13054654060216286,0.10103738917569885,0.0159715690221344
SPY,2023,2023-09-28,2023-09-29,0.007144819847815231,0.01264455378371553,0.008120858074653016,0.007919654385174748,0.013760516729524143,0.01352400675283194,0.00970649410677149,1.7375148030807048,False,1038,110445.94461130268,0.2620534210321511,0.17492623964228096,0.014124099000495638
IWM,2023,2023-09-29,2023-10-02,0.012460164900982895,0.01681851564560868,0.01136288565940596,0.01227911514765108,0.02030285143695943,0.018365625449986656,0.01281684615985701,1.6534458055671253,False,300,65479.63807720132,0.1740784715348246,0.05614002298243908,0.020047361771856776
QQQ,2023,2023-09-29,2023-10-02,0.009044696171831013,0.016402121627494957,0.008996816516200677,0.011677815147474263,0.013276005842038384,0.011546784270075827,0.007586325530982707,1.1368569954551633,False,832,38528.7409687707,0.2092358794711405,0.1323572204049793,0.018627521362647656
SPY,2023,2023-09-29,2023-10-02,0.00970649410677149,0.013760516729524143,0.008126414366035525,0.008538220046222053,0.009704220842486032,0.005088827464526657,0.0016173701404142982,1.1365625141952045,False,1023,76474.377737677,0.15532538362751638,0.08249945874873876,0.015851821776553466
IWM,2023,2023-10-02,2023-10-03,0.01281684615985701,0.02030285143695943,0.012778452049669214,0.012771762520781903,0.018097744654769782,0.015143522363078477,0.010465438511313874,1.4170123054920236,False,288,58820.038568427684,0.05996897473574521,0.02271897877860117,0.020322564419893833
QQQ,2023,2023-10-02,2023-10-03,0.007586325530982707,0.013276005842038384,0.009573338073927056,0.011677815147474263,0.02154526732991945,0.015568387734953504,0.010758641408929126,1.8449741717807007,False,824,44963.31127552678,0.21883367835835962,0.14037735723438724,0.01761440187721508
SPY,2023,2023-10-02,2023-10-03,0.0016173701404142982,0.009704220842486032,0.007583298840835781,0.008887888519638466,0.01691526486308588,0.011614081983617908,0.008163556299425223,1.9031814840735586,False,979,85285.2527752239,0.17822222160200551,0.10682230352040618,0.01504413506191157
IWM,2023,2023-10-03,2023-10-04,0.010465438511313874,0.018097744654769782,0.012610134532138714,0.012771762520781903,0.014736005809065172,0.011354889174570726,0.0012280376622011424,1.1537957885677173,False,266,52057.436968842936,0.036674807668075966,0.023731287331589135,0.020615631494393893
QQQ,2023,2023-10-03,2023-10-04,0.010758641408929126,0.02154526732991945,0.010637701805887842,0.011782306935460164,0.014925366732913755,0.013604285036264319,0.011187034064796153,1.266760984471912,False,777,42835.883952054915,0.16734246288631857,0.08868057329087187,0.01839995971792774
SPY,2023,2023-10-03,2023-10-04,0.008163556299425223,0.01691526486308588,0.007052448103297227,0.009604123085278964,0.01153835864353789,0.007960729957723567,0.006136414085213815,1.2013963733163406,False,895,81675.23813998047,0.2358708505710989,0.12773206257520547,0.014872305790086896
IWM,2023,2023-10-04,2023-10-05,0.0012280376622011424,0.014736005809065172,0.010818391933933642,0.012771762520781903,0.01147535960221374,0.006440227313071034,0.003220158325121014,0.8984945956786554,False,313,56672.17628735244,0.1526184030899673,0.07748367275167913,0.020062228731606218
QQQ,2023,2023-10-04,2023-10-05,0.011187034064796153,0.014925366732913755,0.012215907389937825,0.011782306935460164,0.0139266675489228,0.012952569116975177,0.002918740816901355,1.1819983662969213,False,934,54044.28801681231,0.24826998346968185,0.1849132307685514,0.016621933978430748
SPY,2023,2023-10-04,2023-10-05,0.006136414085213815,0.01153835864353789,0.00821449084367289,0.009604123085278964,0.009897214238928856,0.007574071805032334,0.000329943098479335,1.030517221723151,False,1056,93566.60669039644,0.24234435304530536,0.13622543785204602,0.014236322539340061
IWM,2023,2023-10-05,2023-10-06,0.003220158325121014,0.01147535960221374,0.008418425565541302,0.012771762520781903,0.02570878093762785,0.020660940149935136,0.015437019182887646,2.0129391613565586,False,316,66494.83632501093,0.158404454009148,0.09070828383221621,0.018988767128030496
QQQ,2023,2023-10-05,2023-10-06,0.002918740816901355,0.0139266675489228,0.011948772403051658,0.011993700593733444,0.031097983265572268,0.02884861504766767,0.025446417730520032,2.5928597285328743,False,886,51522.997433122146,0.2327044632353521,0.15772291559686671,0.017454894971867068
SPY,2023,2023-10-05,2023-10-06,0.000329943098479335,0.009897214238928856,0.007434473159715363,0.009800717540707445,0.0249543776781169,0.021707712954974756,0.017939681262458818,2.5461786419686594,False,984,93835.12259153667,0.23390543948134498,0.12959751743353912,0.014252939375114973
IWM,2023,2023-10-06,2023-10-09,0.015437019182887646,0.02570878093762785,0.011359659207114188,0.013350541680942506,0.01617783309207326,0.015770523577866458,0.01256985398127064,1.2117735353889518,False,269,69999.63419718799,0.05433306524206331,0.026369244027779185,0.02098736127569801
QQQ,2023,2023-10-06,2023-10-09,0.025446417730520032,0.031097983265572268,0.01401710546143027,0.012702622669882402,0.017471672055045188,0.013276284075787403,0.011758238777693109,1.3754381680934349,False,806,42463.72449058981,0.16969805147236533,0.06968488335956739,0.01889528958426776
SPY,2023,2023-10-06,2023-10-09,0.017939681262458818,0.0249543776781169,0.0095980379616217,0.010047678337882483,0.013728414101522517,0.012395384435635037,0.011015534217152068,1.3663269901627582,False,935,74302.1068279249,0.18839662089823678,0.08233103708512805,0.016351222555259195
IWM,2023,2023-10-09,2023-10-10,0.01256985398127064,0.01617783309207326,0.010127349308473674,0.01378698494502932,0.01583382792434596,0.015661727759598953,0.009523284294415513,1.1484619724673446,False,288,72581.2509399649,0.07086024931714159,0.028784115280617202,0.01910556227756567
QQQ,2023,2023-10-09,2023-10-10,0.011758238777693109,0.017471672055045188,0.013818608518148154,0.013601336695480592,0.01332783922650872,0.011937871233784314,0.004606166447315596,0.9798918683438851,False,782,48504.62036954258,0.2048716193696626,0.09750107248109219,0.017806055887270168
SPY,2023,2023-10-09,2023-10-10,0.011015534217152068,0.013728414101522517,0.009829641797298092,0.010538582466495208,0.010832915450082465,0.009885893553752023,0.0036956762934654552,1.0279290867175936,False,912,75040.69479610736,0.1217486945956097,0.06299168725253745,0.01678710310475015
IWM,2023,2023-10-10,2023-10-11,0.009523284294415513,0.01583382792434596,0.004969482431163007,0.014407005483263634,0.016182097000571816,0.009978152228773629,0.002555058827606538,1.1232103034437153,False,284,80964.59799789838,0.08315968872040881,0.02661838808174843,0.0162478461577128
QQQ,2023,2023-10-10,2023-10-11,0.004606166447315596,0.01332783922650872,0.007772638004422767,0.013627253387715761,0.008704117422968153,0.0047529807664412616,0.0034600172213050673,0.638728669330714,False,844,49820.60419486152,0.23523337659290258,0.09972464284484357,0.016051082731533984
SPY,2023,2023-10-10,2023-10-11,0.0036956762934654552,0.010832915450082465,0.004403438907358612,0.010855968973118387,0.007804595037552227,0.00567898336546091,0.001560904997053525,0.7189220102671636,False,995,78205.85595358188,0.17821979860890555,0.09192641531875646,0.016571290452389524
IWM,2023,2023-10-11,2023-10-12,0.002555058827606538,0.016182097000571816,0.00558616533987821,0.014750608837826487,0.028940251622525955,0.029802750727626837,0.023766248683899094,1.9619699729486095,False,339,88481.44909843618,0.2720148965028149,0.0807822929234696,0.01618579490362816
QQQ,2023,2023-10-11,2023-10-12,0.0034600172213050673,0.008704117422968153,0.007027281203270984,0.013627253387715761,0.01678635044240348,0.01151023397640305,0.004842273309520584,1.2318219941177198,False,838,56294.15788275072,0.2940535637594387,0.11888355605191439,0.014756586454033143
SPY,2023,2023-10-11,2023-10-12,0.001560904997053525,0.007804595037552227,0.0044159569473012274,0.010855968973118387,0.013983259368047639,0.01326438576856015,0.007529484959398647,1.2880710512965785,False,964,85074.42427203464,0.21173946746719882,0.111477575717265,0.016030251339924143
IWM,2023,2023-10-12,2023-10-13,0.023766248683899094,0.028940251622525955,0.013845335537592318,0.015160415011151805,0.017464429360264114,0.015675665176726472,0.012068475528834055,1.1519756779360926,False,305,78500.41829138127,0.17184353175206157,0.08367100159079988,0.01791000334034554
QQQ,2023,2023-10-12,2023-10-13,0.004842273309520584,0.01678635044240348,0.007203235548512892,0.014426017140918276,0.019699431055573664,0.018441219817488363,0.014275328386988306,1.365548845751594,False,931,62540.38883388925,0.2045683057434565,0.08865203214744484,0.013725704103380412
SPY,2023,2023-10-12,2023-10-13,0.007529484959398647,0.013983259368047639,0.0065328604384692875,0.011032764821352094,0.015096177599812523,0.012398777593106702,0.008524600831598894,1.3683041236042994,False,1053,101070.07620438267,0.22647225359387543,0.1361509488997968,0.014557132484101265
IWM,2023,2023-10-13,2023-10-16,0.012068475528834055,0.017464429360264114,0.013194238974061691,0.015694723040030886,0.01379990125411889,0.009607510444327172,0.007453119473364689,0.87927013550484,False,283,58973.36143845974,0.17471689463049098,0.13057605862382068,0.02094531975773562
